地区,类型,出现次数
广东省,国内,257
江苏省,国内,129
浙江省,国内,117
山东省,国内,105
北京市,国内,76
河北省,国内,70
四川省,国内,67
福建省,国内,67
上海市,国内,65
湖北省,国内,61
安徽省,国内,56
河南省,国内,55
陕西省,国内,51
江西省,国内,50
湖南省,国内,48
重庆市,国内,40
广西壮族自治区,国内,39
辽宁省,国内,35
云南省,国内,30
贵州省,国内,23
黑龙江省,国内,23
山西省,国内,20
内蒙古自治区,国内,18
海南省,国内,17
美国,海外,17
天津市,国内,16
甘肃省,国内,16
吉林省,国内,16
新疆维吾尔自治区,国内,14
香港特别行政区,国内,13
宁夏回族自治区,国内,7
马来西亚,海外,6
台湾省,国内,5
英国,海外,5
新加坡,海外,4
澳大利亚,海外,4
加拿大,海外,4
日本,海外,4
韩国,海外,3
德国,海外,3
青海省,国内,1
西藏自治区,国内,1
澳门特别行政区,国内,1
哈萨克斯坦,海外,1
泰国,海外,1
尼日尔,海外,1
荷兰,海外,1
法国,海外,1
阿尔及利亚,海外,1
意大利,海外,1
秘鲁,海外,1
菲律宾,海外,1
