"rank","bigram","count"
"1","算命","94"
"2","压力","77"
"3","话题","76"
"4","数据","45"
"5","情绪","40"
"6","用户","35"
"7","使用","35"
"8","心理","33"
"9","焦虑","32"
"10","玄学","30"
"11","一个","25"
"12","来源","25"
"13","青年","24"
"14","确定","21"
"15","占比","20"
"16","塔罗","20"
"17","八字","19"
"18","服务","19"
"19","据来","19"
"20","星座","19"
"21","自己","18"
"22","预测","18"
"23","命理","18"
"24","平台","17"
"25","缓解","17"
"26","赛博","17"
"27","占卜","17"
"28","你的","16"
"29","方式","16"
"30","用算","16"
"31","播放","15"
"32","放量","15"
"33","抖音","15"
"34","问卷","15"
"35","科目","14"
"36","结果","14"
"37","林晓","14"
"38","行为","14"
"39","调查","14"
"40","选择","14"
"41","分享","13"
"42","定性","13"
"43","面试","13"
"44","报告","13"
"45","命运","13"
"46","音话","13"
"47","题播","13"
"48","命的","13"
"49","信息","13"
"50","中国","13"
"51","价格","12"
"52","案例","12"
"53","未来","12"
"54","什么","12"
"55","量亿","12"
"56","博玄","12"
"57","的情","11"
"58","风险","11"
"59","亿科","11"
"60","个人","11"
"61","工作","11"
"62","类型","11"
"63","的用","11"
"64","存在","11"
"65","问题","11"
"66","月日","10"
"67","不是","10"
"68","付费","10"
"69","不确","10"
"70","运势","10"
"71","社交","10"
"72","豆包","10"
"73","我的","10"
"74","时间","10"
"75","最终","9"
"76","标签","9"
"77","年轻","9"
"78","来的","9"
"79","输出","9"
"80","这种","9"
"81","门槛","9"
"82","需要","9"
"83","其他","9"
"84","了一","9"
"85","不同","9"
"86","罗牌","9"
"87","神秘","9"
"88","题话","9"
"89","诱导","9"
"90","同一","9"
"91","关系","9"
"92","连麦","9"
"93","满意","9"
"94","提供","8"
"95","而是","8"
"96","价值","8"
"97","健康","8"
"98","签星","8"
"99","消费","8"
"100","通过","8"
"101","一种","8"
"102","成本","8"
"103","分钟","8"
"104","元分","8"
"105","的方","8"
"106","出生","8"
"107","格元","8"
"108","出的","8"
"109","一年","8"
"110","感到","8"
"111","务的","8"
"112","带来","8"
"113","功能","8"
"114","麦价","8"
"115","轻人","8"
"116","专业","8"
"117","显示","8"
"118","出了","8"
"119","一次","8"
"120","收到","8"
"121","年月","7"
"122","市场","7"
"123","高考","7"
"124","部分","7"
"125","超过","7"
"126","程度","7"
"127","提问","7"
"128","一下","7"
"129","群体","7"
"130","机会","7"
"131","己的","7"
"132","研究","7"
"133","的算","7"
"134","是一","7"
"135","提示","7"
"136","咨询","7"
"137","中的","7"
"138","没有","7"
"139","对话","7"
"140","紫色","7"
"141","的人","7"
"142","明显","7"
"143","免费","7"
"144","卷调","7"
"145","同时","7"
"146","求职","7"
"147","真实","7"
"148","职场","7"
"149","经历","7"
"150","失业","7"
