"rank","char","count"
"1","的","357"
"2","算","134"
"3","命","134"
"4","一","129"
"5","用","111"
"6","不","93"
"7","题","90"
"8","力","88"
"9","话","86"
"10","了","82"
"11","在","80"
"12","是","79"
"13","人","79"
"14","压","77"
"15","年","75"
"16","个","68"
"17","来","65"
"18","数","65"
"19","时","62"
"20","理","62"
"21","学","60"
"22","我","59"
"23","有","59"
"24","出","57"
"25","性","57"
"26","她","57"
"27","分","56"
"28","情","53"
"29","中","52"
"30","你","52"
"31","为","52"
"32","据","51"
"33","心","49"
"34","对","48"
"35","到","48"
"36","过","46"
"37","月","45"
"38","感","43"
"39","上","43"
"40","下","43"
"41","占","42"
"42","行","41"
"43","能","40"
"44","面","40"
"45","绪","40"
"46","生","40"
"47","同","39"
"48","自","39"
"49","多","39"
"50","与","38"
"51","问","38"
"52","测","38"
"53","定","37"
"54","使","37"
"55","度","37"
"56","成","36"
"57","这","36"
"58","字","36"
"59","高","36"
"60","解","36"
"61","确","35"
"62","户","35"
"63","虑","34"
"64","业","34"
"65","最","34"
"66","比","34"
"67","大","34"
"68","费","34"
"69","运","34"
"70","于","34"
"71","可","33"
"72","和","33"
"73","式","33"
"74","而","33"
"75","次","33"
"76","源","33"
"77","座","32"
"78","要","32"
"79","焦","32"
"80","实","31"
"81","预","31"
"82","玄","30"
"83","试","30"
"84","元","30"
"85","以","29"
"86","会","29"
"87","看","28"
"88","准","28"
"89","量","28"
"90","平","28"
"91","星","28"
"92","意","27"
"93","被","27"
"94","后","27"
"95","现","27"
"96","提","27"
"97","给","26"
"98","价","26"
"99","等","26"
"100","发","26"
"101","体","26"
"102","示","26"
"103","信","26"
"104","职","25"
"105","工","25"
"106","本","25"
"107","求","25"
"108","未","25"
"109","果","24"
"110","放","24"
"111","相","24"
"112","前","24"
"113","其","24"
"114","青","24"
"115","查","23"
"116","罗","23"
"117","合","23"
"118","务","23"
"119","每","22"
"120","名","22"
"121","入","22"
"122","通","22"
"123","知","22"
"124","经","21"
"125","博","21"
"126","日","21"
"127","结","21"
"128","考","21"
"129","期","21"
"130","安","21"
"131","作","21"
"132","缓","21"
"133","亿","21"
"134","调","20"
"135","他","20"
"136","国","20"
"137","种","20"
"138","塔","20"
"139","向","20"
"140","目","20"
"141","或","20"
"142","化","20"
"143","八","20"
"144","正","20"
"145","方","20"
"146","真","19"
"147","从","19"
"148","服","19"
"149","收","19"
"150","得","19"
"151","没","19"
"152","低","19"
"153","林","19"
"154","案","19"
"155","好","19"
"156","选","18"
"157","播","18"
"158","赛","18"
"159","轻","18"
"160","机","18"
"161","文","18"
"162","但","18"
"163","间","18"
"164","明","18"
"165","失","18"
"166","点","18"
"167","己","18"
"168","型","18"
"169","无","18"
"170","满","18"
"171","科","17"
"172","风","17"
"173","场","17"
"174","就","17"
"175","小","17"
"176","台","17"
"177","当","17"
"178","报","17"
"179","连","17"
"180","更","17"
"181","卜","17"
"182","类","17"
"183","身","17"
"184","传","17"
"185","事","16"
"186","开","16"
"187","代","16"
"188","交","16"
"189","需","16"
"190","说","16"
"191","模","16"
"192","卷","16"
"193","法","15"
"194","息","15"
"195","困","15"
"196","择","15"
"197","格","15"
"198","音","15"
"199","抖","15"
"200","带","15"
