"rank","trigram","count"
"1","数据来","19"
"2","据来源","18"
"3","播放量","15"
"4","音话题","13"
"5","话题播","13"
"6","算命的","13"
"7","抖音话","13"
"8","题播放","13"
"9","确定性","13"
"10","放量亿","12"
"11","赛博玄","12"
"12","博玄学","12"
"13","量亿科","11"
"14","用算命","11"
"15","亿科目","11"
"16","的用户","11"
"17","不确定","10"
"18","的情绪","10"
"19","话题话","9"
"20","题话题","9"
"21","塔罗牌","9"
"22","元分钟","8"
"23","年轻人","8"
"24","连麦价","8"
"25","签星座","8"
"26","价格元","8"
"27","标签星","8"
"28","格元分","8"
"29","使用算","8"
"30","麦价格","8"
"31","理服务","7"
"32","的算命","7"
"33","的方式","7"
"34","心理服","7"
"35","卷调查","7"
"36","自己的","7"
"37","问卷调","7"
"38","服务的","7"
"39","座塔罗","6"
"40","社交平","6"
"41","压力源","6"
"42","究报告","6"
"43","来源问","6"
"44","年压力","6"
"45","青年压","6"
"46","的八字","6"
"47","源问卷","6"
"48","交平台","6"
"49","星座塔","6"
"50","研究报","6"
"51","的青年","6"
"52","的心理","6"
"53","工智能","5"
"54","试机会","5"
"55","月日前","5"
"56","统算命","5"
"57","带来的","5"
"58","来源于","5"
"59","理咨询","5"
"60","智能话","5"
"61","提示词","5"
"62","人工智","5"
"63","低成本","5"
"64","在社交","5"
"65","型占比","5"
"66","传统算","5"
"67","玄学的","5"
"68","能话题","5"
"69","啊啊啊","5"
"70","面试机","5"
"71","类型占","5"
"72","情绪价","5"
"73","理压力","5"
"74","绪价值","5"
"75","专业心","5"
"76","的压力","5"
"77","的命运","5"
"78","业心理","5"
"79","的使用","5"
"80","试压力","4"
"81","月面试","4"
"82","罗牌占","4"
"83","绪出口","4"
"84","的回答","4"
"85","业发展","4"
"86","感数据","4"
"87","提供的","4"
"88","压力同","4"
"89","通知月","4"
"90","罗连麦","4"
"91","亿美元","4"
"92","对现状","4"
"93","算命提","4"
"94","面试邀","4"
"95","短视频","4"
"96","你的命","4"
"97","情绪支","4"
"98","牌占卜","4"
"99","日前可","4"
"100","的未来","4"
"101","年情绪","4"
"102","情绪出","4"
"103","可入职","4"
"104","程度上","4"
"105","高压力","4"
"106","被理解","4"
"107","于算命","4"
"108","心理咨","4"
"109","命提供","4"
"110","的神秘","4"
"111","掌控感","4"
"112","的焦虑","4"
"113","青年情","4"
"114","我们的","4"
"115","互设计","4"
"116","向提问","4"
"117","塔罗连","4"
"118","会增多","4"
"119","考试压","4"
"120","心理压","4"
"121","给出了","4"
"122","话题算","4"
"123","交互设","4"
"124","大程度","4"
"125","中高压","4"
"126","刷短视","4"
"127","愿意为","4"
"128","知月日","4"
"129","公解梦","3"
"130","安欧亚","3"
"131","媒体平","3"
"132","负担研","3"
"133","压力高","3"
"134","学院新","3"
"135","了明确","3"
"136","出了明","3"
"137","情绪调","3"
"138","学年度","3"
"139","你感到","3"
"140","注意的","3"
"141","体验一","3"
"142","而加重","3"
"143","度大赏","3"
"144","运占卜","3"
"145","西安欧","3"
"146","度上缓","3"
"147","了一个","3"
"148","康报告","3"
"149","压力来","3"
"150","感到压","3"
"151","压力大","3"
"152","在压力","3"
"153","不要用","3"
"154","能短暂","3"
"155","面试前","3"
"156","中国玄","3"
"157","示词话","3"
"158","的负面","3"
"159","欧亚学","3"
"160","百分点","3"
"161","青年群","3"
"162","命方式","3"
"163","时使用","3"
"164","焦虑的","3"
"165","健康报","3"
"166","绪调节","3"
"167","算命话","3"
"168","上缓解","3"
"169","据安全","3"
"170","担研究","3"
"171","辈比较","3"
"172","中国人","3"
"173","到焦虑","3"
"174","是一个","3"
"175","这些数","3"
"176","工坊赛","3"
"177","仅体验","3"
"178","的不安","3"
"179","职工作","3"
"180","是一种","3"
"181","玄学行","3"
"182","消费近","3"
"183","确定感","3"
"184","月林晓","3"
"185","用户敏","3"
"186","轻微缓","3"
"187","传工坊","3"
"188","万条用","3"
